Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP026401	0	0	0	0	12	0	
SRP057076	0	0	0	0	12	0	
SRP042123	0	0	0	0	3	0	
SRP055992	0	0	0	0	6	0	
SRP048970	0	0	0	0	10	0	
SRP017111	0	0	0	0	214	0	
SRP065605	0	0	0	0	13	0	
SRP035579	0	0	0	0	75	0	
SRP052306	0	0	0	0	4	0	
SRP029451	0	0	0	0	4	0	
SRP042248	0	0	0	0	4	0	
SRP051715	0	0	0	0	9	0	
SRP052754	0	0	0	0	20	0	
SRP057258	0	0	0	0	36	0	
SRP029957	0	0	0	0	12	0	
SRP021896	0	0	0	0	136	0	
SRP018696	0	0	0	0	10	0	
SRP062687	0	0	0	0	4	0	
SRP010063	0	0	0	0	16	0	
SRP020868	0	0	0	0	9	0	
SRP029353	0	0	0	0	26	0	
ERP010579	0	0	0	0	5	0	
SRP062911	0	0	0	0	10	0	
SRP026114	0	0	0	0	2	0	
SRP017122	0	0	0	0	50	0	
SRP029895	0	0	0	0	2	0	
SRP009826	0	0	0	0	6	0	
ERP008811	0	0	0	0	1	0	
SRP017587	0	0	0	0	6	0	
SRP062359	0	0	0	0	1	0	
SRP040796	0	0	0	0	4	0	
SRP060432	0	0	0	0	12	0	
SRP049707	0	0	0	0	5	0	
SRP052858	0	0	0	0	33	0	
SRP048326	0	0	0	0	24	0	
ERP006778	0	0	0	0	12	0	
SRP029886	0	0	0	0	2	0	
SRP033494	0	0	0	0	18	0	
SRP061365	0	0	0	0	24	0	
SRP036860	0	0	0	0	2	0	
SRP014178	0	0	0	0	12	0	
SRP055871	0	0	0	0	404	0	
SRP028583	0	0	0	0	12	0	
ERP008797	0	0	0	0	1	0	
SRP060403	0	0	0	0	1	0	
SRP057568	0	0	0	0	1	0	
SRP034714	0	0	0	0	12	0	
SRP040029	0	0	0	0	4	0	
ERP008796	0	0	0	0	1	0	
SRP043993	0	0	0	0	5	0	
SRP049102	0	0	0	0	12	0	
SRP003864	0	0	0	0	16	0	
ERP011070	0	0	0	0	12	0	
SRP011586	0	0	0	0	2	0	
SRP012140	0	0	0	0	2	0	
SRP061737	0	0	0	0	2	0	
SRP021139	0	0	0	0	27	0	
SRP028592	0	0	0	0	4	0	
SRP026161	0	0	0	0	366	0	
SRP049306	0	0	0	0	60	0	
SRP058157	0	0	0	0	2	0	
SRP028599	0	0	0	0	20	0	
SRP018003	0	0	0	0	11	0	
SRP002176	0	0	0	0	4	0	
SRP032234	0	0	0	0	2	0	
ERP001030	0	0	0	0	5	0	
SRP056979	0	0	0	0	3	0	
SRP051513	0	0	0	0	30	0	
SRP035498	0	0	0	0	2	0	
SRP056174	0	0	0	0	2	0	
SRP053600	0	0	0	0	10	0	
SRP041817	0	0	0	0	12	0	
SRP026496	0	0	0	0	3	0	
SRP041621	0	0	0	0	3	0	
SRP018404	0	0	0	0	3	0	
SRP040674	0	0	0	0	8	0	
SRP020362	0	0	0	0	2	0	
SRP033422	0	0	0	0	14	0	
SRP062745	0	0	0	0	16	0	
SRP067326	0	0	0	0	4	0	
SRP051763	0	0	0	0	64	0	
ERP009781	0	0	0	0	44	0	
SRP005847	0	0	0	0	6	0	
ERP000745	0	0	0	0	1	0	
SRP056904	0	0	0	0	6	0	
ERP003465	0	0	0	0	60	0	
SRP040576	0	0	0	0	18	0	
SRP028631	0	0	0	0	1	0	
SRP041554	0	0	0	0	1	0	
SRP053306	0	0	0	0	6	0	
SRP013580	0	0	0	0	5	0	
SRP055503	0	0	0	0	12	0	
SRP056607	0	0	0	0	36	0	
SRP060594	0	0	0	0	2	0	
SRP041308	0	0	0	0	20	0	
NHGRI-1	0	0	7	0	0	1	
SRP048217	0	0	0	0	40	0	
SRP038750	0	0	0	0	2	0	
SRP044116	0	0	0	0	16	0	
SRP053771	0	0	0	0	26	0	
SRP051696	0	0	0	0	9	0	
SRP033653	0	0	0	0	12	0	
SRP014438	0	0	0	0	10	0	
SRP029894	0	0	0	0	2	0	
SRP041212	0	0	0	0	23	0	
SRP032921	0	0	0	0	24	0	
SRP024277	0	0	0	0	24	0	
SRP039594	0	0	0	0	12	0	
SRP041710	0	0	0	0	24	0	
SRP047143	0	0	0	0	1	0	
ERP008795	0	0	0	0	1	0	
